Time,Abs
30.29166603,0.16300
30.30833244,0.16100
30.32500076,0.16100
30.34166718,0.15900
30.35833359,0.16100
30.375,0.16500
30.39166641,0.15800
30.40833282,0.15900
30.42499924,0.16100
30.44166565,0.16100
30.45833397,0.16000
30.47500038,0.16200
30.49166679,0.16100
30.50833321,0.16200
30.52499962,0.16000
30.54166603,0.16200
30.55833244,0.16200
30.57500076,0.16000
30.59166718,0.16200
30.60833359,0.15900
30.625,0.15900
30.64166641,0.15900
30.65833282,0.16000
30.67499924,0.16000
30.69166565,0.15800
30.70833397,0.16100
30.72500038,0.15900
30.74166679,0.16000
30.75833321,0.15900
30.77499962,0.15900
30.79166603,0.15900
30.80833244,0.16100
30.82500076,0.16000
30.84166718,0.15900
30.85833359,0.15900
30.875,0.16000
30.89166641,0.15800
30.90833282,0.15900
30.92499924,0.16100
30.94166565,0.16000
30.95833397,0.16000
30.97500038,0.16100
30.99166679,0.15900
31.00833321,0.15900
31.02499962,0.16000
31.04166603,0.15900
31.05833244,0.15800
31.07500076,0.15800
31.09166718,0.15800
31.10833359,0.16000
31.125,0.15900
31.14166641,0.15800
31.15833282,0.15800
31.17499924,0.15900
31.19166565,0.15900
31.20833397,0.15800
31.22500038,0.15900
31.24166679,0.16000
31.25833321,0.15900
31.27499962,0.15900
31.29166603,0.15500
31.30833244,0.15700
31.32500076,0.15800
31.34166718,0.15900
31.35833359,0.15800
31.375,0.15900
31.39166641,0.15900
31.40833282,0.15800
31.42499924,0.15700
31.44166565,0.15900
31.45833397,0.15800
31.47500038,0.15800
31.49166679,0.15800
31.50833321,0.16000
31.52499962,0.15900
31.54166603,0.16000
31.55833244,0.15900
31.57500076,0.15900
31.59166718,0.15900
31.60833359,0.16200
31.625,0.16000
31.64166641,0.15900
31.65833282,0.16000
31.67499924,0.15900
31.69166565,0.16000
31.70833397,0.16200
31.72500038,0.15900
31.74166679,0.16200
31.75833321,0.15900
31.77499962,0.15800
31.79166603,0.15900
31.80833244,0.15800
31.82500076,0.16000
31.84166718,0.16000
31.85833359,0.16100
31.875,0.15800
31.89166641,0.16000
31.90833282,0.16000
31.92499924,0.16100
31.94166565,0.15900
31.95833397,0.15900
31.97500038,0.16000
31.99166679,0.15800
32.00833511,0.16000
32.02500153,0.16100
32.04166794,0.16000
32.05833435,0.16100
32.07500076,0.16100
32.09166718,0.15900
32.10833359,0.16000
32.125,0.16000
32.14167023,0.16100
32.15833664,0.15900
32.17500305,0.15900
32.19166946,0.15900
32.20833588,0.15900
32.22500229,0.15900
32.2416687,0.16000
32.25833511,0.15900
32.27500153,0.16200
32.29166794,0.15800
32.30833435,0.16000
32.32500076,0.16200
32.34166718,0.16000
32.35833359,0.16000
32.375,0.16000
32.39167023,0.16200
32.40833664,0.16100
32.42500305,0.16000
32.44166946,0.16000
32.45833588,0.15800
32.47500229,0.16000
32.4916687,0.16000
32.50833511,0.15900
32.52500153,0.15900
32.54166794,0.15700
32.55833435,0.15900
32.57500076,0.16100
32.59166718,0.15900
32.60833359,0.16100
32.625,0.15900
32.64167023,0.15900
32.65833664,0.16000
32.67500305,0.15800
32.69166946,0.15800
32.70833588,0.16000
32.72500229,0.15700
32.7416687,0.15700
32.75833511,0.15900
32.77500153,0.16100
32.79166794,0.16000
32.80833435,0.15900
32.82500076,0.15500
32.84166718,0.15800
32.85833359,0.15900
32.875,0.15900
32.89167023,0.16000
32.90833664,0.15900
32.92500305,0.15900
32.94166946,0.15800
32.95833588,0.15700
32.97500229,0.16000
32.9916687,0.15800
33.00833511,0.15700
33.02500153,0.15500
