Time,Temp,Abs
947,297.185022,0.276837558
948,297.183495,0.277352929
949,297.207229,0.276645929
950,297.196932,0.273499906
951,297.219577,0.273488909
952,297.226965,0.277743459
953,297.279876,0.275109142
954,297.297701,0.275327295
956,297.286868,0.276937515
957,297.299858,0.271739692
959,297.338671,0.270796806
961,297.369683,0.271752715
964,297.443711,0.270522267
965,297.436752,0.271710604
967,297.423059,0.271096021
970,297.482937,0.266146898
972,297.506806,0.270175189
973,297.52618,0.267209351
975,297.558904,0.268145502
976,297.597052,0.265477449
978,297.618572,0.263147831
979,297.640309,0.265122145
981,297.628272,0.262836218
982,297.653415,0.265711635
984,297.693655,0.262055993
985,297.693624,0.261473388
986,297.700066,0.260944873
988,297.781397,0.263779312
990,297.779323,0.26066649
992,297.803202,0.261223048
993,297.81839,0.26089114
994,297.832453,0.258177102
996,297.834058,0.25992766
997,297.828979,0.258642852
1000,297.894484,0.258183152
1001,297.922599,0.259131134
1002,297.892835,0.259841979
1003,297.950162,0.259164929
1004,297.975363,0.259009004
1006,297.96316,0.256780446
1007,297.992032,0.257063508
1009,298.035322,0.258442015
1011,298.0668,0.255810291
1012,298.070085,0.256136358
1014,298.070484,0.257313639
1016,298.096365,0.255441099
1017,298.109034,0.254273862
1018,298.133708,0.254438728
1020,298.162177,0.254937261
1023,298.184976,0.254749268
1025,298.236232,0.250722796
1026,298.256243,0.254653961
1029,298.296975,0.252678871
1030,298.290278,0.250831664
1031,298.315705,0.250652343
1032,298.300108,0.252190858
1033,298.344506,0.250033557
1035,298.360057,0.249863073
1036,298.370254,0.252954572
1039,298.387476,0.252729386
1040,298.391938,0.251342982
1041,298.445262,0.25054735
1042,298.439727,0.252180159
1043,298.469944,0.247451529
1044,298.469944,0.248911902
1045,298.473425,0.247700006
1047,298.516521,0.245849401
1048,298.543389,0.245688289
1049,298.484361,0.247994304
1051,298.568309,0.247018278
1052,298.595373,0.249918521
1054,298.59624,0.248708502
1055,298.612688,0.245550484
1057,298.641789,0.247912929
1059,298.677119,0.248120517
1060,298.673651,0.246680513
1061,298.676214,0.244033516
1063,298.70775,0.244504482
1065,298.736409,0.242872581
1067,298.774412,0.241842657
1068,298.775622,0.243609011
1070,298.784631,0.237956315
1071,298.829719,0.24281539
1073,298.857698,0.239613131
1074,298.849188,0.240759611
1076,298.882558,0.252466857
1077,298.906675,0.256502003
1078,298.927736,0.253766
1079,298.952393,0.252287746
1081,298.942034,0.252166987
1082,298.960589,0.238852307
1084,299.013463,0.254423648
1085,299.010309,0.250606984
1087,299.026425,0.248343736
1089,299.035996,0.236632541
1091,299.082488,0.250802517
1093,299.145459,0.255866468
1094,299.145459,0.236718208
1095,299.108738,0.246176973
1097,299.154854,0.239941523
1098,299.158175,0.24856858
1099,299.162941,0.236155003
1100,299.172435,0.24680762
1102,299.195459,0.242812127
1103,299.245199,0.241522878
1105,299.248251,0.236870796
1107,299.294697,0.240413606
1109,299.29337,0.241350472
1110,299.30161,0.236537471
1113,299.338958,0.238020077
1114,299.356463,0.2402239
1116,299.40481,0.239205405
1117,299.403534,0.235412091
1118,299.42273,0.235919654
1120,299.43291,0.235041782
1122,299.450462,0.230823249
1123,299.463686,0.234309331
1124,299.506986,0.234502465
1126,299.533138,0.232560158
1129,299.559457,0.232844681
1131,299.533387,0.232411519
1133,299.623411,0.231252447
1135,299.624662,0.231883362
1137,299.642506,0.232201681
1139,299.680095,0.228980258
1140,299.628091,0.2284026
1142,299.676635,0.227725729
1144,299.718589,0.228967026
1145,299.708303,0.226144016
1147,299.73702,0.228662282
1148,299.73702,0.227523789
1150,299.768778,0.225109115
1151,299.785235,0.227333292
1153,299.822172,0.22778517
1154,299.823964,0.226083159
1156,299.866005,0.226589516
1157,299.866005,0.227697521
1159,299.859604,0.227454603
1160,299.892312,0.224900514
1161,299.909548,0.226430684
1162,299.909548,0.225129232
1163,299.912497,0.223963365
1165,299.930914,0.226153612
1166,299.983208,0.226066083
1169,299.996492,0.221694827
1172,300.037734,0.222066999
1174,300.036957,0.222128779
1176,300.057851,0.22265242
1177,300.057851,0.22317946
1178,300.11835,0.221846223
1179,300.141422,0.223987863
1180,300.129547,0.220991075
1181,300.127856,0.220181987
1184,300.137138,0.220166251
1186,300.18885,0.220980004
1187,300.201022,0.216833785
1189,300.233221,0.218398199
1190,300.231531,0.219173044
1191,300.217743,0.218393922
1193,300.253963,0.216481954
1194,300.273275,0.216936931
1195,300.300778,0.218462497
1196,300.266239,0.21862717
1198,300.337582,0.216756225
1199,300.35387,0.215756267
1200,300.35387,0.216914266
1201,300.357337,0.218653202
1202,300.339893,0.217588633
1204,300.375004,0.215348348
1205,300.420651,0.213736296
1207,300.416388,0.213447049
1208,300.416829,0.215258077
1210,300.4525,0.214587122
1213,300.470847,0.213456616
1215,300.479806,0.213460416
1217,300.492852,0.212206826
1219,300.540923,0.215224728
1220,300.560813,0.215591446
1222,300.570795,0.214414716
1224,300.603802,0.213996962
1227,300.614671,0.217753872
1229,300.661251,0.214065611
1230,300.632204,0.215866461
1231,300.677876,0.214868799
1232,300.692538,0.21298334
1233,300.703983,0.212769374
1235,300.719631,0.212851256
1236,300.699779,0.214185
1237,300.699779,0.215202794
1240,300.766772,0.212926358
1242,300.76504,0.212597907
1243,300.798959,0.214041412
1245,300.821607,0.212438464
1247,300.847477,0.21213755
1248,300.843112,0.211944789
1249,300.848749,0.211670384
1250,300.868676,0.212520033
1251,300.909993,0.210965127
1252,300.915014,0.211687118
1254,300.923524,0.209374219
1255,300.936584,0.211976111
1257,300.946682,0.20982483
1258,300.961994,0.209074631
1260,300.978658,0.207774341
1261,300.974251,0.209727734
1262,301.002036,0.209455729
1263,300.993615,0.209270865
1266,301.039823,0.211045966
1267,301.045433,0.206987277
1268,301.05842,0.206120074
1271,301.065755,0.203208804
1273,301.101421,0.20541127
1276,301.126655,0.203580275
1278,301.149747,0.205600321
1280,301.140621,0.202140346
1281,301.187255,0.203812063
1282,301.1837,0.200201958
1283,301.201703,0.202852681
1284,301.20156,0.202030569
1285,301.197255,0.202312484
1286,301.247234,0.201392278
1289,301.221014,0.202048674
1291,301.269185,0.198924407
1292,301.274569,0.201328695
1295,301.317103,0.198815942
1297,301.362573,0.197198555
1299,301.377165,0.195659936
1301,301.35871,0.198627725
1302,301.401671,0.196890548
1303,301.378275,0.197761491
1305,301.405305,0.192984596
1308,301.462708,0.197913393
1309,301.442936,0.193841472
1311,301.467737,0.19539839
1313,301.511376,0.194894493
1314,301.501246,0.198109463
1316,301.519795,0.194607645
1317,301.53042,0.196008205
1318,301.553747,0.194615915
1319,301.559989,0.195076466
1320,301.564198,0.197362453
1321,301.574557,0.193266273
1323,301.601278,0.193376035
1325,301.64938,0.195115492
1327,301.648357,0.19697544
1328,301.654648,0.191323802
1329,301.630118,0.193921804
1331,301.683088,0.193038821
1333,301.686149,0.194818437
1334,301.692929,0.193982586
1337,301.706879,0.192124829
1340,301.741574,0.191947788
1341,301.784742,0.191901073
1343,301.773106,0.191003695
1344,301.786099,0.192115918
1345,301.787933,0.191321522
1346,301.813813,0.191531122
1347,301.829004,0.190077007
1349,301.839059,0.190394834
1351,301.852143,0.188754842
1352,301.872493,0.189204991
