Time,Abs,Temp
559,0.169857293,308.19946
560,0.170464501,308.233014
562,0.164762124,308.186654
565,0.168957412,308.171677
566,0.164655939,308.104549
567,0.163041428,308.113825
569,0.165216729,308.110185
571,0.166351885,308.063408
572,0.166603416,308.064931
575,0.162402183,308.081211
577,0.164157346,308.011372
578,0.159278899,307.996066
580,0.167748153,307.989287
582,0.163716719,307.949352
583,0.161961749,307.914773
585,0.159994558,307.91944
587,0.159796596,307.88257
589,0.16113545,307.897352
590,0.158205152,307.859294
591,0.162007794,307.842876
592,0.161676258,307.861618
593,0.160897419,307.830392
595,0.161090136,307.814095
596,0.161572412,307.817503
598,0.158205673,307.750527
599,0.155450612,307.769298
600,0.156407729,307.776984
602,0.157862261,307.707921
603,0.158983782,307.693354
605,0.15347828,307.706672
608,0.158616737,307.646182
610,0.156644926,307.643818
611,0.1542193,307.621302
614,0.15478003,307.593739
616,0.152170837,307.559937
619,0.15675205,307.492388
620,0.155742779,307.519347
623,0.155281991,307.51411
624,0.159128159,307.44399
625,0.155459613,307.437785
627,0.157059923,307.399955
628,0.155656457,307.389947
630,0.154052004,307.389278
631,0.157917857,307.387128
632,0.1532612,307.378572
634,0.154422715,307.353268
635,0.157189429,307.317098
637,0.155230954,307.306805
638,0.154446796,307.289641
640,0.155114844,307.270178
643,0.157370135,307.238803
644,0.155381054,307.195804
647,0.151485547,307.203921
649,0.151665628,307.139741
651,0.152148172,307.117104
652,0.15189679,307.129347
653,0.149386779,307.124493
655,0.149785101,307.110661
656,0.149682641,307.052562
657,0.148415655,307.047965
659,0.149330184,307.042626
660,0.14753817,307.017153
661,0.148087427,307.011348
663,0.144942224,307.005763
665,0.145424619,306.982035
666,0.144632071,306.953076
667,0.144461051,306.953536
670,0.145674393,306.930172
672,0.14182736,306.878201
674,0.141242474,306.861848
677,0.140971825,306.825358
678,0.146042511,306.814498
680,0.143648878,306.75331
681,0.140241638,306.753677
682,0.141738772,306.76317
683,0.141588345,306.769008
684,0.142475754,306.748095
686,0.142395303,306.717406
687,0.142490387,306.69608
689,0.142530173,306.631632
691,0.143547967,306.658615
692,0.146059215,306.655057
694,0.142599002,306.612277
695,0.141355723,306.597271
696,0.138710558,306.569205
697,0.142247766,306.579768
698,0.142480567,306.553737
700,0.141305685,306.529164
701,0.139917672,306.522992
703,0.13854675,306.486207
706,0.141330734,306.458968
