Time,Abs1,Temp1,Abs2,Temp2
356,0.410375416,290.850953,0.233850539,310.022025
358,0.409562171,290.841467,0.22063762,309.994474
366,0.407523245,290.932776,0.221123457,309.9045
368,0.404969662,290.913382,0.214060262,309.898398
375,0.40642032,290.962357,0.211518943,309.846436
377,0.406254649,290.998934,0.21011515,309.815748
383,0.402061671,291.05981,0.206505969,309.804126
385,0.400466442,291.052153,0.204290241,309.730391
389,0.398168743,291.061863,0.208042115,309.709876
391,0.400038689,291.085732,0.206304357,309.680212
395,0.400094837,291.110626,0.204550281,309.660954
399,0.400562197,291.107996,0.202740029,309.620147
400,0.400121272,291.138789,0.200792268,309.60244
401,0.40068543,291.167805,0.20017992,309.595128
404,0.41500473,291.19957,0.196327239,309.573858
407,0.419039637,291.189343,0.197988898,309.554952
409,0.41237551,291.225307,0.200984061,309.535218
410,0.414459825,291.213928,0.197819412,309.514472
411,0.416544765,291.257771,0.193041608,309.482173
416,0.399762929,291.258443,0.198354781,309.454548
418,0.398853272,291.292228,0.193840906,309.447287
423,0.401892364,291.331111,0.199030295,309.405387
425,0.394430339,291.335311,0.198338881,309.375203
426,0.396768332,291.34466,0.196927741,309.384976
428,0.396183342,291.376989,0.196468905,309.339497
431,0.394886851,291.36579,0.19869706,309.307839
434,0.39385131,291.404217,0.194185227,309.28608
437,0.387124836,291.413894,0.195011854,309.239269
442,0.389034003,291.470213,0.192842722,309.173454
445,0.388269991,291.51243,0.191811279,309.173922
448,0.386349887,291.525202,0.188683733,309.150375
449,0.387222588,291.528127,0.188194871,309.127012
450,0.387957126,291.556271,0.188887596,309.135324
452,0.384054005,291.531255,0.184875861,309.111118
454,0.385359556,291.580184,0.185750336,309.059113
455,0.384848416,291.560019,0.185486674,309.077375
457,0.384327829,291.600278,0.187362537,309.0583
459,0.385343611,291.586433,0.185375154,309.047897
460,0.381754309,291.580063,0.182967126,308.993416
463,0.377817333,291.629418,0.182751685,308.9782
466,0.380089879,291.689312,0.185957268,308.960542
470,0.37854591,291.699983,0.183239222,308.902335
472,0.379054874,291.746325,0.183354765,308.922123
474,0.379758149,291.754793,0.179609105,308.854235
476,0.380945146,291.739331,0.180228859,308.838405
479,0.378487289,291.772082,0.181903005,308.818989
481,0.382024854,291.778429,0.176225424,308.788092
483,0.382043392,291.819271,0.173679769,308.781684
