Time (min),Abs
26.38333358,0.174442053
26.39999999,0.175247148
26.4166664,0.175645292
26.43333281,0.173464894
26.44999923,0.174418077
26.46666564,0.175477371
26.48333396,0.175101534
26.50000037,0.174660161
26.51666678,0.173259199
26.5333332,0.172830775
26.54999961,0.17522037
26.56666602,0.175882906
26.58333243,0.173358232
26.60000075,0.174237818
26.61666717,0.173078537
26.63333358,0.173417002
26.64999999,0.173785195
26.6666664,0.169741139
26.68333281,0.174426079
26.69999923,0.173281059
26.71666564,0.173875809
26.73333396,0.172177732
26.75000037,0.172243998
26.76666678,0.173565596
26.7833332,0.171898797
26.79999961,0.173121691
26.81666602,0.172319397
26.83333243,0.170960024
26.85000075,0.173065305
26.86666717,0.170194238
26.88333358,0.171813473
26.89999999,0.171122566
26.9166664,0.171233103
26.93333281,0.17062071
26.94999923,0.172715828
26.96666564,0.172656268
26.98333396,0.172804922
27.00000037,0.170727357
27.01666678,0.169608682
27.0333332,0.169791192
27.04999961,0.169348374
27.06666602,0.170051202
27.08333243,0.171980649
27.10000075,0.169949845
27.11666717,0.170016199
27.13333358,0.168425664
27.14999999,0.170384243
27.1666664,0.167968452
27.18333281,0.169297338
27.19999923,0.168766126
27.21666564,0.169598579
27.23333396,0.168771625
27.25000037,0.169468284
27.26666678,0.167196468
27.2833332,0.167765603
27.29999961,0.168184459
27.31666602,0.167356193
27.33333243,0.170629993
27.35000075,0.168521494
27.36666717,0.167523786
27.38333358,0.167897373
27.39999999,0.169341445
27.4166664,0.168208867
27.43333281,0.16881378
27.44999923,0.168953046
27.46666564,0.168563321
27.48333396,0.169616297
27.50000037,0.166164473
27.51666678,0.166694671
27.5333332,0.166390419
27.54999961,0.167349652
27.56666602,0.167704955
27.58333243,0.165310189
27.60000075,0.165745422
27.61666717,0.168306068
27.63333358,0.170403361
27.64999999,0.166622445
27.6666664,0.166584194
27.68333281,0.168320715
27.69999923,0.165226221
27.71666564,0.166722491
27.73333396,0.165522277
27.75000037,0.166105196
27.76666678,0.165785626
27.7833332,0.162853077
27.79999961,0.162489474
27.81666602,0.163610011
27.83333243,0.164310679
27.85000075,0.165027306
27.86666717,0.16516462
27.88333358,0.167266548
27.89999999,0.165178597
27.9166664,0.164684653
27.93333281,0.166356668
27.94999923,0.162526801
27.96666564,0.164187193
27.98333396,0.163148865
28.00000037,0.164612874
28.01666678,0.16438736
28.0333332,0.16437088
28.04999961,0.164667979
28.06666602,0.163827717
28.08333243,0.164127588
28.10000075,0.163530186
28.11666717,0.162780196
28.13333358,0.160369739
28.14999999,0.164497286
28.1666664,0.166024193
28.18333281,0.164046526
28.19999923,0.164563075
28.21666564,0.161975548
28.23333396,0.164304823
28.25000037,0.162333638
28.26666678,0.163835004
28.2833332,0.164755046
28.29999961,0.164671943
28.31666602,0.164974883
28.33333243,0.162373141
28.35000075,0.161728144
28.36666717,0.162782311
28.38333358,0.162094936
28.39999999,0.16308333
28.4166664,0.162317649
28.43333281,0.161884546
28.44999923,0.162113771
28.46666564,0.161984444
28.48333396,0.160119921
28.50000037,0.16263777
28.51666678,0.16186069
28.5333332,0.161061972
28.54999961,0.164311543
28.56666602,0.163593561
28.58333243,0.160722122
28.60000075,0.162322313
28.61666717,0.161736667
28.63333358,0.161751881
28.64999999,0.162094593
28.6666664,0.162856087
28.68333281,0.160909861
28.69999923,0.162561923
28.71666564,0.164003402
28.73333396,0.16300334
28.75000037,0.161841407
28.76666678,0.162032083
28.7833332,0.160680711
28.79999961,0.161039397
28.81666602,0.160739973
28.83333243,0.162415236
28.85000075,0.160315111
28.86666717,0.162715659
28.88333358,0.161025733
28.89999999,0.162999228
28.9166664,0.16083841
28.93333281,0.159634098
28.94999923,0.162464678
28.96666564,0.162361056
28.98333396,0.158074468
29.00000037,0.160781831
29.01666678,0.160534322
29.0333332,0.162684113
29.04999961,0.162709907
29.06666602,0.162955448
29.08333243,0.15786323
29.10000075,0.159291893
29.11666717,0.160614461
29.13333358,0.158798635
29.14999999,0.157787904
29.1666664,0.160659209
29.18333281,0.160102442
29.19999923,0.161248833
29.21666564,0.157728985
29.23333396,0.159239411
29.25000037,0.158875346
29.26666678,0.158492953
29.2833332,0.158266828
29.29999961,0.157739848
29.31666602,0.15744181
29.33333243,0.158692196
29.35000075,0.159926102
29.36666717,0.15970251
29.38333358,0.158219352
29.39999999,0.159609079
29.4166664,0.158214361
29.43333281,0.159213454
29.44999923,0.158160031
29.46666564,0.158685103
29.48333396,0.157101736
29.50000037,0.156524822
29.51666678,0.157894507
29.5333332,0.15583387
29.54999961,0.1574848
29.56666602,0.157102808
29.58333243,0.155528709
29.60000075,0.156978428
29.61666717,0.157170683
29.63333358,0.157176256
29.64999999,0.156908095
29.6666664,0.157884225
29.68333281,0.158534974
29.69999923,0.157379016
29.71666564,0.156696573
29.73333396,0.155358061
29.75000037,0.156830937
29.76666678,0.159497097
29.7833332,0.157405049
29.79999961,0.157227904
29.81666602,0.156319171
29.83333243,0.155743003
29.85000075,0.156638533
29.86666717,0.156557754
29.88333358,0.155164123
29.89999999,0.15369986
29.9166664,0.156867236
29.93333281,0.154504091
29.94999923,0.156311452
29.96666564,0.155671388
29.98333396,0.155816749
30.00000037,0.153461993
30.01666678,0.154575005
30.0333332,0.156094655
30.04999961,0.156045675
30.06666602,0.154310763
30.08333243,0.154648945
30.10000075,0.154887885
30.11666717,0.156085536
30.13333358,0.155050203
30.14999999,0.15547283
30.1666664,0.153617993
30.18333281,0.156959623
30.19999923,0.154242262
30.21666564,0.155327007
30.23333396,0.15246588
30.25000037,0.153294981
30.26666678,0.152481943
30.2833332,0.152635798
30.29999961,0.154054076
30.31666602,0.155262813
30.33333243,0.151256666
30.35000075,0.155268148
30.36666717,0.154001251
30.38333358,0.153096557
30.39999999,0.152377307
30.4166664,0.154428259
30.43333281,0.153985947
30.44999923,0.153680429
30.46666564,0.154594556
30.48333396,0.154592007
30.50000037,0.152658239
30.51666678,0.153424874
