Time (sec),Abs,Temperature
1520,0.145616502,305.336391
1521,0.145614982,305.346975
1522,0.141843051,305.357105
1523,0.143135563,305.357105
1524,0.143195376,305.349165
1525,0.141805649,305.36769
1526,0.144367814,305.415971
1527,0.142687365,305.415971
1528,0.142922893,305.415971
1529,0.142225102,305.453046
1530,0.142360732,305.453046
1531,0.142703116,305.420812
1532,0.143921316,305.420812
1533,0.144615784,305.499161
1534,0.142049819,305.499161
1535,0.14239049,305.480962
1536,0.142504975,305.530426
1537,0.141846448,305.530426
1538,0.141344219,305.577389
1539,0.142000422,305.577389
1540,0.141447306,305.564042
1541,0.143169895,305.564042
1542,0.140419692,305.564042
1543,0.140991047,305.615827
1544,0.139405772,305.615827
1545,0.139883399,305.630826
1546,0.140074313,305.614303
1547,0.13993299,305.614303
1548,0.141539097,305.655455
1549,0.139621526,305.681878
1550,0.139854044,305.72426
1551,0.140318483,305.72426
1552,0.138900071,305.72426
1553,0.138926581,305.757304
1554,0.138613597,305.757304
1555,0.137146488,305.762571
1556,0.138631403,305.768003
1557,0.139236122,305.780576
1558,0.138861865,305.780576
1559,0.137669623,305.810046
1560,0.139086187,305.835975
1561,0.138434574,305.845751
1562,0.138377115,305.839299
1563,0.139488459,305.880162
1564,0.139657766,305.880162
1565,0.138888702,305.880162
1566,0.139628455,305.892486
1567,0.13688831,305.924524
1568,0.139849141,305.959587
1569,0.138329566,305.959587
1570,0.140471369,305.96342
1571,0.137482896,305.96342
1572,0.138202816,305.96342
1573,0.137182549,306.019456
1574,0.13873522,306.019456
1575,0.13860327,306.063436
1576,0.137939394,306.0446
1577,0.13798748,306.0446
1578,0.137095511,306.095069
1579,0.137138918,306.087049
1580,0.137433335,306.087049
1581,0.136973426,306.13354
1582,0.138349026,306.13354
1583,0.137992382,306.178315
1584,0.139368802,306.148548
1585,0.136884198,306.179598
1586,0.137418985,306.180526
1587,0.137669444,306.18809
1588,0.136450604,306.18809
1589,0.136951968,306.250005
1590,0.139129669,306.250005
1591,0.138640985,306.26251
1592,0.135764808,306.261276
1593,0.138265953,306.261276
1594,0.137635782,306.261276
1595,0.136755958,306.310618
1596,0.135176987,306.330322
1597,0.137875632,306.330322
1598,0.134844616,306.34655
1599,0.135227978,306.379
1600,0.137248278,306.379
1601,0.136205062,306.379
1602,0.136629328,306.385659
1603,0.136478066,306.41136
1604,0.137059912,306.41136
1605,0.135979831,306.465504
1606,0.135681629,306.465504
1607,0.135940746,306.487214
1608,0.135872141,306.505934
1609,0.13399443,306.505934
1610,0.136373699,306.499548
1611,0.136299104,306.55273
1612,0.133532256,306.564595
1613,0.132963374,306.53379
1614,0.133788452,306.53379
1615,0.135142967,306.594551
1616,0.134829864,306.607335
1617,0.13294819,306.613127
1618,0.135025516,306.606858
1619,0.134716809,306.606858
1620,0.133873493,306.668407
1621,0.132446647,306.668407
1622,0.13385725,306.683759
1623,0.132025242,306.683759
1624,0.132672191,306.71664
1625,0.133756355,306.736493
1626,0.132673204,306.736493
1627,0.132335663,306.755621
1628,0.133598909,306.765838
1629,0.132112756,306.765838
1630,0.132858768,306.786148
1631,0.133163616,306.798615
1632,0.133993045,306.798615
1633,0.131891638,306.827423
1634,0.133555219,306.837803
1635,0.13282758,306.871207
1636,0.132721454,306.876873
1637,0.130970225,306.876873
1638,0.132932127,306.909692
1639,0.129881397,306.909692
1640,0.12932682,306.947492
1641,0.132809877,306.947492
1642,0.130872175,306.973624
1643,0.132990003,306.985994
1644,0.133087859,306.983524
1645,0.132176027,306.970241
1646,0.134163871,306.970241
1647,0.132273778,307.014791
1648,0.133452743,307.014791
1649,0.130703911,307.014791
1650,0.131363988,307.040829
1651,0.130459368,307.061612
1652,0.129848689,307.086868
1653,0.132107973,307.086868
1654,0.130764946,307.113287
1655,0.132103071,307.113287
1656,0.130789444,307.113287
1657,0.131995082,307.173137
1658,0.132292196,307.190067
1659,0.1322577,307.174228
1660,0.130390331,307.174228
1661,0.129959956,307.222307
1662,0.130608261,307.226253
1663,0.131647781,307.226253
1664,0.130583614,307.271552
1665,0.130303204,307.275343
1666,0.131778553,307.275343
1667,0.128933907,307.296969
1668,0.131175086,307.296969
1669,0.129245952,307.344705
1670,0.131171614,307.344705
1671,0.128137052,307.342671
1672,0.132675499,307.331046
1673,0.130777508,307.404356
1674,0.13042748,307.404356
1675,0.130535126,307.404619
1676,0.128757954,307.404619
1677,0.131489411,307.450416
1678,0.132358372,307.460275
1679,0.132365152,307.444281
1680,0.128311515,307.444281
1681,0.136651769,307.493251
1682,0.135755926,307.493251
1683,0.132516041,307.507733
1684,0.125644416,307.507733
1685,0.137714624,307.507733
1686,0.138151795,307.539591
1687,0.136514962,307.538312
1688,0.135218978,307.600571
1689,0.135225445,307.600571
1690,0.138343662,307.600571
1691,0.137358174,307.607679
1692,0.136024401,307.607679
1693,0.138043001,307.671092
1694,0.137385026,307.668748
1695,0.137303278,307.673437
1696,0.135465801,307.698227
1697,0.137214929,307.687938
1698,0.136871323,307.710817
1699,0.138008222,307.73563
1700,0.136668727,307.73563
1701,0.13586022,307.748973
1702,0.137823194,307.768324
1703,0.135486096,307.793207
1704,0.136081412,307.793207
1705,0.136420161,307.79415
1706,0.137575269,307.79415
1707,0.135259405,307.841961
1708,0.135616243,307.841961
1709,0.135588482,307.873363
1710,0.136111558,307.873363
1711,0.13687402,307.893242
1712,0.136108398,307.893242
1713,0.135310724,307.916381
1714,0.135695607,307.916381
1715,0.126575261,307.952923
1716,0.136779547,307.952923
1717,0.134864897,307.938914
1718,0.135792062,307.938914
1719,0.135222256,308.017277
1720,0.124200128,308.017277
1721,0.134845927,308.059096
1722,0.125507906,308.059096
1723,0.123566292,308.059096
1724,0.123663053,308.068686
1725,0.123854712,308.068686
1726,0.136372462,308.119772
1727,0.136539355,308.119772
1728,0.134977594,308.12557
1729,0.134889111,308.12557
1730,0.135624066,308.190023
1731,0.135340452,308.215393
1732,0.134577364,308.183725
1733,0.13642256,308.183725
1734,0.126852393,308.183725
1735,0.123752534,308.263695
1736,0.136452764,308.263695
1737,0.126061529,308.272571
1738,0.12475533,308.272571
1739,0.136348784,308.270499
1740,0.126242444,308.281822
1741,0.133396953,308.281822
1742,0.134676814,308.322274
1743,0.136641845,308.322274
1744,0.126143515,308.37304
1745,0.131307244,308.373768
1746,0.1252404,308.394379
1747,0.125560105,308.394379
1748,0.124466419,308.39708
1749,0.135009691,308.440078
1750,0.133971661,308.440078
1751,0.123249672,308.43894
1752,0.130778313,308.492262
1753,0.124235861,308.492262
1754,0.130665481,308.50592
1755,0.126219422,308.50592
1756,0.123996683,308.50804
1757,0.125756919,308.50804
1758,0.127422109,308.591811
1759,0.124297582,308.591811
1760,0.130775303,308.591811
1761,0.131921277,308.615303
1762,0.128482997,308.607782
1763,0.13069202,308.624547
1764,0.130562499,308.669644
1765,0.128495678,308.650352
1766,0.125240848,308.69687
1767,0.132712528,308.729805
1768,0.125151604,308.699863
1769,0.12603803,308.753656
1770,0.12816146,308.753656
1771,0.127064124,308.783913
1772,0.125126958,308.783913
1773,0.126512826,308.783913
1774,0.123871788,308.802266
1775,0.126451761,308.790717
1776,0.125180855,308.790717
1777,0.126652733,308.850143
1778,0.125415891,308.853373
1779,0.125691325,308.874422
1780,0.128499255,308.883704
1781,0.12775065,308.880645
1782,0.125479296,308.928221
1783,0.12656112,308.937141
1784,0.126510918,308.937141
1785,0.126299635,308.937141
1786,0.12453083,308.9679
1787,0.12605226,308.9679
1788,0.125166565,308.9679
1789,0.127247855,309.023062
1790,0.125914007,309.03001
1791,0.125703082,309.04784
1792,0.12632598,309.04784
1793,0.123497866,309.04784
1794,0.124553897,309.071816
1795,0.126168683,309.071816
1796,0.125653222,309.108468
1797,0.123800762,309.105868
1798,0.122965433,309.147783
1799,0.124507278,309.147783
1800,0.12541838,309.153038
1801,0.124437392,309.153038
1802,0.122173823,309.1914
1803,0.123945817,309.196965
1804,0.121282265,309.196965
1805,0.125167415,309.20405
1806,0.12410818,309.20405
1807,0.123629607,309.234139
1808,0.122569673,309.234139
1809,0.124242306,309.282963
1810,0.123641439,309.278827
1811,0.123229079,309.278827
1812,0.122288726,309.33723
1813,0.122406378,309.344788
1814,0.124132842,309.344788
1815,0.121723965,309.365579
