Sample 1,,
Time (min),Abs,
0.6858333945,0.4520819485,
0.6875,0.4453109801,
0.6891666651,0.4541074038,
0.6908333302,0.4516298175,
0.6924999952,0.4485856891,
0.6941667199,0.440795809,
0.6958333254,0.4581081569,
0.6974999905,0.4464995265,
0.6991667151,0.4525650144,
0.7008333206,0.4580278099,
0.7025000453,0.436470747,
0.7041666508,0.4551927447,
0.7058333158,0.4410904348,
0.7075000405,0.4346332848,
0.709166646,0.4390055537,
0.7108333707,0.4548110962,
0.7125000358,0.4420014918,
0.7141666412,0.4485224783,
0.7158333659,0.442789644,
0.7174999714,0.4458170235,
0.7191666961,0.4470847547,
0.7208333611,0.4530317783,
0.7224999666,0.4472971261,
0.7241666913,0.4440804422,
0.7258333564,0.4532446861,
0.7275000215,0.4495631158,
0.7291666865,0.4486677647,
0.730833292,0.4367220998,
0.7325000167,0.4469693005,
0.7341666818,0.4518526495,
0.7358333468,0.4477555156,
0.7375000119,0.4468909502,
0.739166677,0.4481187165,
0.7408333421,0.4505797327,
0.7425000072,0.4478700459,
0.7441667318,0.4561707377,
0.7458333373,0.4503001273,
0.7475000024,0.4508951902,
0.7491666675,0.440214932,
0.7508333325,0.4474888146,
0.7525000572,0.4553644657,
0.7541666627,0.4424873888,
0.7558333278,0.4465862811,
0.7575000525,0.4408963025,
0.7591666579,0.4502527416,
0.7608333826,0.4473792613,
0.7624999881,0.4453528821,
0.7641666532,0.4487676024,
0.7658333778,0.4503721595,
0.7674999833,0.4562347829,
0.769166708,0.457865119,
0.7708333731,0.4489337504,
0.7724999785,0.4501759112,
0.7741667032,0.4451539516,
0.7758333087,0.4497826099,
0.7775000334,0.4531300366,
0.7791666985,0.4452364445,
0.7808333039,0.4485704303,
0.7825000286,0.4478152394,
0.7841666937,0.4555109143,
0.7858333588,0.4521556497,
0.7875000238,0.4456482232,
0.7891666293,0.4441125989,
0.790833354,0.4500744045,
0.7925000191,0.448228538,
0.7941666842,0.4422741234,
0.7958333492,0.4416945875,
0.7975000143,0.4455562234,
0.7991666794,0.4405716956,
0.8008333445,0.4475476444,
0.8025000095,0.4565669596,
0.8041666746,0.4454010129,
0.8058333397,0.4518295527,
0.8075000048,0.4474064112,
0.8091666698,0.4484772086,
0.8108333945,0.4493532479,
0.8125,0.4454764724,
0.8141666651,0.4532988071,
0.8158333302,0.4476562738,
0.8174999952,0.4410095811,
0.8191667199,0.4360478222,
0.8208333254,0.4506813288,
0.8224999905,0.4503695369,
0.8241667151,0.4412678778,
0.8258333206,0.4483457804,
0.8275000453,0.4477705657,
0.8291666508,0.4420892,
0.8308333158,0.4490461946,
0.8325000405,0.4455107749,
0.834166646,0.4464874268,
0.8358333707,0.4415218234,
0.8375000358,0.4485735893,
0.8391666412,0.4493876696,
0.8408333659,0.4443691373,
0.8424999714,0.4371559024,
0.8441666961,0.4344893098,
0.8458333611,0.4533103108,
0.8474999666,0.44555825,
0.8491666913,0.4507202208,
0.8508333564,0.4388508499,
0.8525000215,0.4451703727,
0.8541666865,0.4410703182,
0.855833292,0.4476573765,
0.8575000167,0.4419133663,
0.8591666818,0.4507758915,
0.8608333468,0.4410571456,
0.8625000119,0.4435393214,
0.864166677,0.437155962,
0.8658333421,0.4423800111,
