Time,Abs
1839,0.079492092
1840,0.081784591
1841,0.081406251
1842,0.082855374
1843,0.08556319
1844,0.079983644
1845,0.077721566
1846,0.080931738
1847,0.084322922
1848,0.079737924
1849,0.07942035
1850,0.085677095
1851,0.081799619
1852,0.081362106
1853,0.080205686
1854,0.083075345
1855,0.081918359
1856,0.084432893
1857,0.081442602
1858,0.080399804
1859,0.081125468
1860,0.080376536
1861,0.085781194
1862,0.08525677
1863,0.082473509
1864,0.082841374
1865,0.086071953
1866,0.081601627
1867,0.083063811
1868,0.082343943
1869,0.080102012
1870,0.083636023
1871,0.079626121
1872,0.084802136
1873,0.081833966
1874,0.084039487
1875,0.081545874
1876,0.081483133
1877,0.08045768
1878,0.083263598
1879,0.079189986
1880,0.083061054
1881,0.081669919
1882,0.082464084
1883,0.083480515
1884,0.082372174
1885,0.080198929
1886,0.081892349
1887,0.078689374
1888,0.082826212
1889,0.079796895
1890,0.081681691
1891,0.080539256
1892,0.083771273
1893,0.083083056
1894,0.082642056
1895,0.079990305
1896,0.080829702
1897,0.08397001
1898,0.080100767
1899,0.084133327
1900,0.079983585
1901,0.08166264
1902,0.079185419
1903,0.081526257
1904,0.080327354
1905,0.079745017
1906,0.080621086
1907,0.081303418
1908,0.082216427
1909,0.084519237
1910,0.083029747
1911,0.079632372
1912,0.082372047
1913,0.080627263
1914,0.081305325
1915,0.080273815
1916,0.082232788
1917,0.08344987
1918,0.079611227
1919,0.08002124
1920,0.080727756
1921,0.081401758
1922,0.082186207
1923,0.082877807
1924,0.079927601
1925,0.081372939
1926,0.078189239
1927,0.079675004
1928,0.078360163
1929,0.080058873
1930,0.080570728
1931,0.085266218
1932,0.086314306
1933,0.081867412
1934,0.080563091
1935,0.078235015
1936,0.079864502
1937,0.077642046
1938,0.083109856
1939,0.076944418
1940,0.076107986
1941,0.083210394
1942,0.078638427
1943,0.082051791
1944,0.084391989
1945,0.080077611
1946,0.07704521
1947,0.079453208
1948,0.082394637
1949,0.077832043
1950,0.078780852
1951,0.080634773
1952,0.078588389
1953,0.077846818
1954,0.077831209
1955,0.080034964
1956,0.077399097
1957,0.079746231
1958,0.079357453
1959,0.077691756
1960,0.083257988
1961,0.081801184
1962,0.079754688
1963,0.080206119
1964,0.079461724
1965,0.082911856
1966,0.07822302
1967,0.075699709
1968,0.079342283
1969,0.079540744
1970,0.078763597
1971,0.077979997
1972,0.075010307
1973,0.078139469
1974,0.079357423
1975,0.07658726
1976,0.076985277
1977,0.080173239
1978,0.078228787
1979,0.078088276
1980,0.080269299
1981,0.078196056
1982,0.075820126
1983,0.07798963
1984,0.078007504
1985,0.078602873
1986,0.079131618
1987,0.082091168
1988,0.078593098
1989,0.082121998
1990,0.077098317
1991,0.079794317
1992,0.080414973
1993,0.079442486
1994,0.080582753
1995,0.080271482
1996,0.078214966
1997,0.079040535
1998,0.080097526
1999,0.082255125
2000,0.082720347
2001,0.080296583
2002,0.078332633
2003,0.080667183
2004,0.079786755
2005,0.082541712
2006,0.079535834
2007,0.08047843
2008,0.081349246
2009,0.080226019
2010,0.085650168
2011,0.07927756
2012,0.082296483
2013,0.0782184
2014,0.078916155
2015,0.081750214
2016,0.084806792
2017,0.081691876
2018,0.080794565
2019,0.082022436
2020,0.081571393
2021,0.082104646
2022,0.081519201
2023,0.080541275
2024,0.078897774
2025,0.080840334
2026,0.079055808
2027,0.080843143
2028,0.08534766
2029,0.083530277
2030,0.079645865
