Time temp,Abs,Reactor Temperature (C)
1375,0.086337586,304.896578
1376,0.090005315,304.929597
1379,0.087182494,304.943299
1381,0.088041577,304.993091
1382,0.086738678,305.023804
1383,0.087678843,305.053688
1385,0.087013245,305.05484
1387,0.088112605,305.078966
1390,0.088066347,305.15845
1391,0.083185314,305.166722
1394,0.083349044,305.250437
1395,0.085536972,305.256706
1397,0.084056285,305.282218
1398,0.083567364,305.294531
1400,0.084869266,305.333594
1401,0.083646914,305.34269
1403,0.083621498,305.408814
1404,0.08300934,305.408814
1406,0.082329238,305.452568
1408,0.081267349,305.467463
1409,0.081567863,305.441868
1410,0.081008527,305.535818
1412,0.082179974,305.528914
1414,0.080295753,305.578295
1415,0.081942029,305.598932
1416,0.081016754,305.60933
1417,0.080665022,305.651989
1420,0.080237867,305.644758
1421,0.080071192,305.72253
1422,0.077444059,305.718126
1424,0.081653103,305.747514
1425,0.079380974,305.786236
1426,0.079836109,305.81987
1427,0.078200982,305.812261
1430,0.080212886,305.84816
1433,0.080934443,305.910137
1435,0.079238459,305.954324
1436,0.080260219,305.97886
1439,0.078062562,306.009309
1442,0.080523203,306.063523
1444,0.079031737,306.103203
1446,0.077259372,306.120699
1447,0.077908574,306.144985
1448,0.076817628,306.152286
1450,0.077140906,306.202429
1453,0.077833332,306.220578
1454,0.077705582,306.269273
1456,0.077055135,306.295305
1457,0.077305228,306.334816
1458,0.077134053,306.302156
1459,0.074757594,306.338109
1461,0.075718346,306.373301
1462,0.074769605,306.427727
1463,0.075376614,306.42409
1465,0.075953806,306.448093
1466,0.074994824,306.440147
1468,0.076087677,306.486076
1471,0.074147463,306.545499
1473,0.074775799,306.578493
1475,0.075544935,306.607339
1476,0.073520529,306.623592
1477,0.074320437,306.616276
1478,0.074771809,306.656857
1480,0.075084881,306.686503
1482,0.072377737,306.710876
1484,0.073094255,306.778233
1485,0.072944125,306.760203
1487,0.073512955,306.803903
1488,0.073620986,306.822054
1489,0.071447366,306.799369
1490,0.071766473,306.859286
1493,0.072923646,306.883593
1494,0.071167243,306.927402
1495,0.071023406,306.921947
1497,0.069952732,307.001282
1500,0.069465494,306.98883
1502,0.068711209,307.051405
1504,0.068230186,307.050556
1505,0.069375523,307.094882
1506,0.068365772,307.121247
1508,0.068976308,307.117538
1509,0.067472762,307.147876
1510,0.067801011,307.125956
1511,0.069315634,307.156419
1512,0.067518523,307.189547
1514,0.067907538,307.24774
1515,0.06713357,307.223102
1516,0.067638941,307.233586
1518,0.066759679,307.26166
1520,0.066149211,307.298239
1522,0.06869204,307.335735
1523,0.066077674,307.380569
1524,0.067076397,307.407598
1525,0.068297141,307.401552
1527,0.063892147,307.434112
1530,0.066097173,307.470227
1532,0.065742256,307.494434
1533,0.065785483,307.545081
1534,0.063100546,307.52391
1537,0.065022468,307.591168
1540,0.06277629,307.62755
1542,0.063155816,307.652129
1543,0.062499169,307.666364
1544,0.062284099,307.692606
1545,0.064358722,307.71139
1546,0.063238206,307.718069
1549,0.062874184,307.717793
1550,0.063466202,307.774734
1551,0.062332428,307.812094
1553,0.062106728,307.846488
1555,0.063429582,307.822734
1557,0.06270182,307.886581
1559,0.06364098,307.905777
1560,0.062125799,307.924356
1562,0.062873041,307.976999
1563,0.061917344,307.942895
1564,0.061666009,308.002005
1566,0.061384691,308.003038
1567,0.061994845,308.046874
1569,0.061669848,308.088857
1570,0.062033583,308.052977
1571,0.062296893,308.080203
1575,0.060825492,308.153367
1576,0.060104215,308.158323
1577,0.059476555,308.171485
1579,0.060009182,308.209789
1580,0.059224584,308.22094
1581,0.058990047,308.249912
1583,0.059136806,308.270008
1585,0.061688031,308.284716
1586,0.059598043,308.316485
1588,0.059421387,308.342012
1591,0.058718691,308.369117
1594,0.057105884,308.437479
1596,0.058246326,308.447133
1598,0.056606993,308.511584
1600,0.057459061,308.514521
1601,0.056851116,308.521224
1602,0.057973564,308.549837
1604,0.05687714,308.568016
1605,0.058530997,308.583733
1606,0.057209712,308.590031
1607,0.056741571,308.632531
1609,0.059279981,308.629772
1612,0.058697774,308.675108
1614,0.056415934,308.705048
1615,0.057136757,308.708908
1617,0.056985253,308.753463
1618,0.057810524,308.747915
1619,0.056066935,308.782668
1620,0.056573459,308.817758
1622,0.055781976,308.82713
1623,0.055857091,308.841943
1625,0.057265844,308.848824
1628,0.054676075,308.896804
1629,0.056967674,308.907444
